country,location,loc_code,lat,lon,cycle,phenotype_date,Year,Month,Day,NDVI
India,Ludhiana,LDH-NS,30.991,75.736,2015,2015-02-26,2015,2,26,0.73
India,Ludhiana,LDH-NS,30.991,75.736,2015,2015-03-11,2015,3,11,0.67
India,Ludhiana,LDH-NS,30.991,75.736,2015,2015-03-19,2015,3,19,0.61
India,Ludhiana,LDH-NS,30.991,75.736,2015,2015-03-25,2015,3,25,0.53
India,Ludhiana,LDH-NS,30.991,75.736,2015,2015-03-31,2015,3,31,0.34
India,Ludhiana,LDH-NS,30.991,75.736,2016,2015-12-10,2015,12,10,0.62
India,Ludhiana,LDH-NS,30.991,75.736,2016,2015-12-18,2015,12,18,0.66
India,Ludhiana,LDH-NS,30.991,75.736,2016,2015-12-23,2015,12,23,0.67
India,Ludhiana,LDH-NS,30.991,75.736,2016,2015-12-30,2015,12,30,0.69
India,Ludhiana,LDH-NS,30.991,75.736,2016,2016-01-11,2016,1,11,0.78
India,Ludhiana,LDH-NS,30.991,75.736,2016,2016-01-19,2016,1,19,0.79
India,Ludhiana,LDH-NS,30.991,75.736,2016,2016-01-28,2016,1,28,0.82
India,Ludhiana,LDH-NS,30.991,75.736,2016,2016-02-02,2016,2,2,0.84
India,Ludhiana,LDH-NS,30.991,75.736,2016,2016-02-09,2016,2,9,0.86
India,Ludhiana,LDH-NS,30.991,75.736,2016,2016-02-16,2016,2,16,0.81
India,Ludhiana,LDH-NS,30.991,75.736,2016,2016-02-23,2016,2,23,0.82
India,Ludhiana,LDH-NS,30.991,75.736,2016,2016-03-09,2016,3,9,0.72
India,Ludhiana,LDH-NS,30.991,75.736,2016,2016-03-15,2016,3,15,0.66
India,Ludhiana,LDH-NS,30.991,75.736,2016,2016-03-22,2016,3,22,0.55
India,Ludhiana,LDH-NS,30.991,75.736,2016,2016-03-28,2016,3,28,0.38
India,Ludhiana,LDH-NS,30.991,75.736,2017,2016-12-19,2016,12,19,0.63
India,Ludhiana,LDH-NS,30.991,75.736,2017,2016-12-26,2016,12,26,0.63
India,Ludhiana,LDH-NS,30.991,75.736,2017,2017-01-03,2017,1,3,0.68
India,Ludhiana,LDH-NS,30.991,75.736,2017,2017-01-10,2017,1,10,0.73
